Mutual fund,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Vanguard Total Stock Market Index...,3.08%,14143632,5450531464,-161526,-1.13%,ADBE
Vanguard 500 Index Fund,2.33%,10688148,4118891595,-112244,-1.04%,ADBE
Invesco QQQ Trust,1.33%,6082530,2344024586,19600,+0.32%,ADBE
Government Pension Fund - Global ...,1.12%,5153122,1985858625,1019471,+24.66%,ADBE
Fidelity 500 Index Fund,1.11%,5096493,1964035507,9265,+0.18%,ADBE
SPDR S&P 500 ETF Trust,1.08%,4970624,1915529371,14196,+0.29%,ADBE
Vanguard PRIMECAP Fund,0.98%,4493757,1731759135,0,0.00%,ADBE
iShares Core S&P 500 ETF,0.89%,4063203,1565836540,546,+0.01%,ADBE
Vanguard Growth Index Fund,0.85%,3898782,1502473619,-67266,-1.70%,ADBE
Vanguard Institutional Index Fund,0.72%,3314714,1277391334,-37134,-1.11%,ADBE
Vanguard Total Stock Market Index...,3.00%,2301337,768968745,17079,+0.75%,ALGN
Advisors Inner Circle - Edgewood ...,2.36%,1810020,604800083,-321558,-15.09%,ALGN
Vanguard Mid Cap Index Fund,2.26%,1733281,579158513,3133,+0.18%,ALGN
Vanguard 500 Index Fund,2.21%,1695967,566690413,8000,+0.47%,ALGN
Vanguard Health Care Fund,1.63%,1245662,416225501,0,0.00%,ALGN
JPMorgan Large Cap Growth Fund,1.43%,1095183,365944448,703248,+179.43%,ALGN
American Funds Growth Fund of Ame...,1.39%,1067000,356527380,-156500,-12.79%,ALGN
Invesco QQQ Trust,1.33%,1017961,340141489,3290,+0.32%,ALGN
Fidelity 500 Index Fund,1.04%,796366,266097735,1447,+0.18%,ALGN
SPDR S&P 500 ETF Trust,1.03%,786203,262701870,2236,+0.29%,ALGN
Washington Mutual Investors Fund,3.32%,18218092,1451253209,-6798225,-27.18%,ADM
Vanguard Total Stock Market Index...,3.10%,16964742,1351411348,61426,+0.36%,ADM
Vanguard 500 Index Fund,2.33%,12772440,1017452570,9448,+0.07%,ADM
American Balanced Fund,1.55%,8500000,677110000,-5488059,-39.23%,ADM
Vanguard Equity Income Fund,1.21%,6625616,527796571,-231835,-3.38%,ADM
Vanguard Mid Cap Index Fund,1.17%,6400062,509828939,-8839,-0.14%,ADM
Fidelity 500 Index Fund,1.10%,6022105,479720884,10946,+0.18%,ADM
SPDR S&P 500 ETF Trust,1.09%,5954868,474364785,16952,+0.29%,ADM
Government Pension Fund - Global ...,1.01%,5523655,440014357,-296356,-5.09%,ADM
Vanguard Value Index Fund,0.90%,4902244,390512757,22018,+0.45%,ADM
Stichting Pensioenfonds ABP (Glob...,5.61%,4928668,526036736,-393488,-7.39%,ALLE
Vanguard Total Stock Market Index...,3.10%,2725134,290853552,19391,+0.72%,ALLE
Vanguard Small Cap Index Fund,2.62%,2299432,245418377,10115,+0.44%,ALLE
Vanguard 500 Index Fund,2.33%,2050398,218838979,11040,+0.54%,ALLE
John Hancock III - Disciplined Va...,2.00%,1758106,187642653,24011,+1.38%,ALLE
Vanguard Small Cap Value Index Fu...,1.84%,1612787,172132757,-2997,-0.19%,ALLE
Pictet - Security,1.75%,1540000,164364200,-810000,-34.47%,ALLE
Fidelity 500 Index Fund,1.10%,963007,102781737,1753,+0.18%,ALLE
SPDR S&P 500 ETF Trust,1.09%,960007,102461547,2704,+0.28%,ALLE
VanEck Morningstar Wide Moat ETF,0.92%,812067,86671911,7860,+0.98%,ALLE
Vanguard Total Stock Market Index...,3.09%,3626380,801575035,20109,+0.56%,ALB
Vanguard Mid Cap Index Fund,2.34%,2737434,605082411,2678,+0.10%,ALB
Vanguard 500 Index Fund,2.33%,2735085,604563188,13520,+0.50%,ALB
American Funds Growth Fund of Ame...,1.88%,2201729,486670178,432792,+24.47%,ALB
American Funds Investment Company...,1.59%,1858952,410902750,258083,+16.12%,ALB
Franklin Rising Dividends Fund,1.21%,1421116,314123481,-5200,-0.36%,ALB
Global X Lithium & Battery Tech E...,1.19%,1398474,309118693,0,0.00%,ALB
Fidelity 500 Index Fund,1.10%,1284297,283881009,2335,+0.18%,ALB
SPDR S&P 500 ETF Trust,1.08%,1269736,280662445,3640,+0.29%,ALB
iShares Core S&P 500 ETF,0.89%,1039786,229834297,140,+0.01%,ALB
Vanguard Total Stock Market Index...,3.10%,9160133,1267212799,87166,+0.96%,A
Vanguard 500 Index Fund,2.34%,6907266,955551178,29060,+0.42%,A
T Rowe Price Mid Cap Growth Fund,1.55%,4593100,635409454,-6100,-0.13%,A
Vanguard Health Care Fund,1.21%,3576445,494765401,0,0.00%,A
Fidelity 500 Index Fund,1.10%,3245366,448963932,5898,+0.18%,A
SPDR S&P 500 ETF Trust,1.09%,3208787,443903594,9152,+0.29%,A
iShares Core S&P 500 ETF,0.89%,2625878,363263963,354,+0.01%,A
Government Pension Fund - Global ...,0.87%,2557263,353771763,-226620,-8.14%,A
Vanguard Growth Index Fund,0.85%,2519597,348561049,3042,+0.12%,A
Pictet - Global Environment Oppor...,0.83%,2466336,341192922,0,0.00%,A
Canada Pension Plan,4.72%,7375000,577462500,-3603,-0.05%,AKAM
Vanguard Total Stock Market Index...,3.11%,4863424,380806099,33361,+0.69%,AKAM
Vanguard Mid Cap Index Fund,2.35%,3672773,287578126,6652,+0.18%,AKAM
Vanguard 500 Index Fund,2.35%,3670888,287430530,20380,+0.56%,AKAM
First Trust NASDAQ Cybersecurity ...,1.23%,1924229,150667131,0,0.00%,AKAM
Fidelity 500 Index Fund,1.10%,1723776,134971661,3135,+0.18%,AKAM
SPDR S&P 500 ETF Trust,1.10%,1715102,134292487,4888,+0.29%,AKAM
iShares Tr. - Edge MSCI Min. Vol....,1.01%,1571465,123045710,-796,-0.05%,AKAM
Pioneer Fund,0.98%,1526140,119496762,-15223,-0.99%,AKAM
Vanguard Value Index Fund,0.90%,1406080,110096064,12210,+0.88%,AKAM
Vanguard Total Stock Market Index...,2.79%,21853546,1870445002,190307,+0.88%,ATVI
Vanguard 500 Index Fund,2.12%,16627161,1423118710,82693,+0.50%,ATVI
Invesco QQQ Trust,1.33%,10420411,891882977,33600,+0.32%,ATVI
Government Pension Fund - Global ...,1.29%,10091790,863756306,2585920,+34.45%,ATVI
Fidelity 500 Index Fund,1.00%,7807411,668236307,14193,+0.18%,ATVI
SPDR S&P 500 ETF Trust,0.99%,7732686,661840595,22048,+0.29%,ATVI
iShares Core S&P 500 ETF,0.81%,6321004,541014732,850,+0.01%,ATVI
SPDR Series - Communication Servi...,0.70%,5513611,471909965,333222,+6.43%,ATVI
Alecta Pension,0.65%,5080599,434848468,803355,+18.78%,ATVI
Vanguard Institutional Index Fund,0.64%,5042602,431596305,-56246,-1.10%,ATVI
JPMorgan Equity Income Fund,4.13%,2450526,298008467,0,0.00%,AAP
Vanguard Total Stock Market Index...,3.09%,1833276,222944694,7037,+0.39%,AAP
Vanguard Mid Cap Index Fund,2.34%,1384020,168310672,2489,+0.18%,AAP
Vanguard 500 Index Fund,2.33%,1383088,168197332,-12559,-0.90%,AAP
Schwab US Dividend Equity ETF,1.47%,872920,106155801,476,+0.05%,AAP
Champlain Mid Cap Fund,1.40%,830000,100936300,-10000,-1.19%,AAP
American Century Mid Cap Value Fu...,1.31%,777963,94608080,-98620,-11.25%,AAP
Fidelity 500 Index Fund,1.11%,659048,80146827,1199,+0.18%,AAP
SPDR S&P 500 ETF Trust,1.10%,654292,79568450,1820,+0.28%,AAP
Vanguard Equity Income Fund,1.10%,652009,79290814,385990,+145.10%,AAP
Government Pension Fund - Global ...,9.01%,15593333,1958366691,2141089,+15.92%,ARE
Vanguard Real Estate Index Fund,3.97%,6867147,862444992,-60319,-0.87%,ARE
Stichting Pensioenfonds ABP (Glob...,3.54%,6130760,769962148,-250228,-3.92%,ARE
Vanguard Total Stock Market Index...,3.09%,5355254,672566350,308639,+6.12%,ARE
Vanguard Mid Cap Index Fund,2.34%,4042830,507739020,211305,+5.51%,ARE
Vanguard 500 Index Fund,2.12%,3677162,461814776,207284,+5.97%,ARE
Canada Pension Plan,1.61%,2790000,350396100,2029712,+266.97%,ARE
Victory Sycamore Established Valu...,1.29%,2225000,279437750,105000,+4.95%,ARE
SPDR S&P 500 ETF Trust,0.99%,1710140,214776483,4888,+0.29%,ARE
Fidelity 500 Index Fund,0.95%,1636920,205580783,2975,+0.18%,ARE
Vanguard Total Stock Market Index...,2.94%,19501167,5573628540,116932,+0.60%,ACN
Vanguard 500 Index Fund,2.22%,14702173,4202028065,64525,+0.44%,ACN
Fidelity 500 Index Fund,1.04%,6907288,1974171983,12557,+0.18%,ACN
SPDR S&P 500 ETF Trust,1.03%,6837516,1954230448,19500,+0.29%,ACN
Government Pension Fund - Global ...,1.02%,6784472,1939069942,1271567,+23.07%,ACN
iShares Core S&P 500 ETF,0.84%,5589232,1597458398,752,+0.01%,ACN
Vanguard Growth Index Fund,0.81%,5363000,1532799030,-12088,-0.22%,ACN
Vanguard Dividend Growth Fund,0.69%,4558827,1302958345,335330,+7.94%,ACN
Vanguard Institutional Index Fund,0.68%,4480166,1280476244,-50093,-1.11%,ACN
MFS Value Fund,0.59%,3882008,1109516706,0,0.00%,ACN
Vanguard Total Stock Market Index...,3.14%,17266843,1814917868,39319,+0.23%,MMM
Vanguard 500 Index Fund,2.34%,12852133,1350887700,11908,+0.09%,MMM
Schwab US Dividend Equity ETF,1.46%,8023684,843369425,4410,+0.05%,MMM
Fidelity 500 Index Fund,1.10%,6059476,636911522,11012,+0.18%,MMM
SPDR S&P 500 ETF Trust,1.09%,5991831,629801356,17056,+0.29%,MMM
SPDR Dow Jones Industrial Average...,1.01%,5589816,587545560,-6588,-0.12%,MMM
Vanguard Value Index Fund,0.90%,4924259,517588863,14695,+0.30%,MMM
iShares Core S&P 500 ETF,0.89%,4885919,513558946,658,+0.01%,MMM
Flossbach von Storch - Multiple O...,0.88%,4865222,511383484,0,0.00%,MMM
Vanguard Institutional Index Fund,0.71%,3921058,412142406,-44164,-1.11%,MMM
American Funds Fundamental Invest...,4.82%,32215998,775761232,-3416218,-9.59%,AES
Vanguard Total Stock Market Index...,3.09%,20663383,497574263,124550,+0.61%,AES
American Funds Income Fund of Ame...,2.87%,19208031,462529386,2215000,+13.03%,AES
American Funds New Perspective Fu...,2.74%,18314876,441022214,0,0.00%,AES
Vanguard Mid Cap Index Fund,2.33%,15601505,375684240,12259,+0.08%,AES
Vanguard 500 Index Fund,2.33%,15595046,375528708,69192,+0.45%,AES
American Balanced Fund,1.60%,10665000,256813200,0,0.00%,AES
SPDR Series - Utilities Select Se...,1.57%,10481880,252403670,11495,+0.11%,AES
Capital Income Builder,1.43%,9541613,229762041,0,0.00%,AES
American Funds Growth Fund of Ame...,1.43%,9535605,229617368,0,0.00%,AES
Vanguard Total Stock Market Index...,3.05%,3866139,267343512,-38526,-0.99%,AOS
Vanguard Small Cap Index Fund,2.58%,3270463,226152516,-36061,-1.09%,AOS
Vanguard 500 Index Fund,2.34%,2962172,204834194,16700,+0.57%,AOS
SPDR S&P Dividend ETF,2.25%,2857995,197630354,-779,-0.03%,AOS
ProShares S&P 500 Dividend Aristo...,2.21%,2806922,194098656,0,0.00%,AOS
BNP Paribas Funds - Aqua,1.49%,1894949,131035723,-153025,-7.47%,AOS
Vanguard Small Cap Growth Index F...,1.47%,1866600,129075390,-42026,-2.20%,AOS
BNP Paribas Aqua,1.35%,1717554,118768859,-139115,-7.49%,AOS
Smithson Investment Trust Plc,1.33%,1686822,116643741,252483,+17.60%,AOS
Pictet - Global Environment Oppor...,1.30%,1646133,113830097,-679585,-29.22%,AOS
Vanguard Total Stock Market Index...,3.10%,6877901,1975401946,49730,+0.73%,APD
Vanguard 500 Index Fund,2.34%,5184893,1489153119,32760,+0.64%,APD
JPMorgan Equity Income Fund,1.62%,3600758,1034173705,182655,+5.34%,APD
Government Pension Fund - Global ...,1.38%,3068804,881391197,1752422,+133.12%,APD
Fidelity 500 Index Fund,1.10%,2431484,698346520,4420,+0.18%,APD
SPDR S&P 500 ETF Trust,1.08%,2404341,690550779,6864,+0.29%,APD
Franklin Rising Dividends Fund,1.04%,2308140,662920889,-8400,-0.36%,APD
Vanguard Value Index Fund,0.90%,1986777,570622222,15308,+0.78%,APD
iShares Core S&P 500 ETF,0.89%,1971068,566110440,266,+0.01%,APD
Vanguard Institutional Index Fund,0.71%,1570885,451173881,-17485,-1.10%,APD
Vanguard Total Stock Market Index...,3.10%,12830763,2856512767,70413,+0.55%,ADP
Vanguard 500 Index Fund,2.34%,9673703,2153656499,36485,+0.38%,ADP
Schwab US Dividend Equity ETF,1.45%,6021812,1340636006,3304,+0.05%,ADP
Invesco QQQ Trust,1.33%,5505308,1225646720,17745,+0.32%,ADP
Fundsmith Equity Fund,1.18%,4900924,1091092710,-123712,-2.46%,ADP
Fidelity 500 Index Fund,1.10%,4547576,1012426845,8267,+0.18%,ADP
SPDR S&P 500 ETF Trust,1.09%,4498906,1001591443,12844,+0.29%,ADP
Vanguard Dividend Growth Fund,1.00%,4143705,922513044,0,0.00%,ADP
iShares Core S&P 500 ETF,0.89%,3677585,818740749,494,+0.01%,ADP
Vanguard Growth Index Fund,0.85%,3528677,785589361,-10752,-0.30%,ADP
Victory Sycamore Established Valu...,3.69%,4700000,197212000,330000,+7.55%,ALK
Vanguard Total Stock Market Index...,3.09%,3936584,165179065,53975,+1.39%,ALK
Vanguard PRIMECAP Fund,2.88%,3669400,153968024,-95700,-2.54%,ALK
Vanguard Small Cap Index Fund,2.62%,3337172,140027737,31176,+0.94%,ALK
Vanguard 500 Index Fund,2.33%,2977455,124934012,33000,+1.12%,ALK
John Hancock III - Disciplined Va...,2.01%,2566296,107681780,35049,+1.38%,ALK
Vanguard Small Cap Value Index Fu...,1.84%,2342417,98287817,8955,+0.38%,ALK
American Funds Insurance Series -...,1.57%,2000000,83920000,2000000,--,ALK
US Global Jets ETF,1.26%,1602127,67225249,-14178,-0.88%,ALK
Invesco S&P 500 Equal Weight ETF,1.12%,1421967,59665735,-3041,-0.21%,ALK
Vanguard Total Stock Market Index...,3.10%,53814678,5449274294,159939,+0.30%,ABT
Vanguard 500 Index Fund,2.34%,40706341,4121924090,201372,+0.50%,ABT
American Funds Investment Company...,1.27%,22158493,2243769001,0,0.00%,ABT
Fidelity 500 Index Fund,1.10%,19114031,1935486779,34749,+0.18%,ABT
SPDR S&P 500 ETF Trust,1.09%,18931130,1916966224,54028,+0.29%,ABT
Government Pension Fund - Global ...,0.97%,16838999,1705117039,964655,+6.08%,ABT
American Funds AMCAP Fund,0.92%,16045815,1624799227,-390166,-2.37%,ABT
American Mutual Fund,0.91%,15761607,1596020325,678961,+4.50%,ABT
Vanguard Value Index Fund,0.90%,15547443,1574334078,62063,+0.40%,ABT
iShares Core S&P 500 ETF,0.89%,15475004,1566998905,2082,+0.01%,ABT
Vanguard Total Stock Market Index...,2.80%,17138713,1105789763,-84438,-0.49%,AFL
Vanguard 500 Index Fund,2.13%,13071145,843350275,-75808,-0.58%,AFL
Fidelity 500 Index Fund,1.01%,6202922,400212527,11270,+0.18%,AFL
SPDR S&P 500 ETF Trust,1.00%,6132897,395694514,17368,+0.28%,AFL
iShares Core S&P 500 ETF,0.81%,4969220,320614074,668,+0.01%,AFL
Vanguard Value Index Fund,0.81%,4954631,319672792,-10493,-0.21%,AFL
Vanguard Institutional Index Fund,0.67%,4073188,262802090,-44648,-1.08%,AFL
SPDR Series - Financial Select Se...,0.61%,3739505,241272863,17255,+0.46%,AFL
Vanguard Dividend Appreciation In...,0.52%,3185244,205511943,-460424,-12.63%,AFL
Stichting Pensioenfonds ABP (Glob...,0.48%,2940866,189744674,-327226,-10.01%,AFL
Vanguard Total Stock Market Index...,3.10%,54789512,8731804527,370766,+0.68%,ABBV
Vanguard 500 Index Fund,2.33%,41287630,6580009593,202357,+0.49%,ABBV
Fidelity 500 Index Fund,1.10%,19387075,3089718143,35241,+0.18%,ABBV
SPDR S&P 500 ETF Trust,1.09%,19201488,3060141143,54808,+0.29%,ABBV
Government Pension Fund - Global ...,1.04%,18347842,2924095580,784507,+4.47%,ABBV
American Mutual Fund,1.00%,17601670,2805178148,-394712,-2.19%,ABBV
Vanguard Value Index Fund,0.90%,15828129,2522528919,123031,+0.78%,ABBV
iShares Core S&P 500 ETF,0.89%,15696058,2501480763,2112,+0.01%,ABBV
Capital Income Builder,0.84%,14865867,2369173224,-432826,-2.83%,ABBV
SPDR Series - Health Care Select ...,0.79%,13932843,2220477189,0,0.00%,ABBV
Vanguard Total Stock Market Index...,3.09%,15912017,1447834427,99122,+0.63%,AEP
Vanguard 500 Index Fund,2.33%,11996719,1091581462,57660,+0.48%,AEP
SPDR Series - Utilities Select Se...,1.57%,8063867,733731258,8845,+0.11%,AEP
Vanguard Equity Income Fund,1.55%,7978645,725976909,758254,+10.50%,AEP
Invesco QQQ Trust,1.33%,6834861,621904002,22050,+0.32%,AEP
Fidelity 500 Index Fund,1.10%,5633261,512570418,10234,+0.18%,AEP
SPDR S&P 500 ETF Trust,1.08%,5569816,506797558,15912,+0.29%,AEP
Vanguard Value Index Fund,0.89%,4597535,418329710,27277,+0.60%,AEP
iShares Core S&P 500 ETF,0.89%,4560764,414983916,614,+0.01%,AEP
Vanguard Wellesley Income Fund,0.85%,4369443,397575619,291252,+7.14%,AEP
Vanguard Total Stock Market Index...,3.09%,7766512,414731741,34388,+0.44%,LNT
Vanguard Mid Cap Index Fund,2.34%,5863201,313094933,10621,+0.18%,LNT
Vanguard 500 Index Fund,2.33%,5859556,312900290,31940,+0.55%,LNT
Victory Sycamore Established Valu...,1.87%,4700000,250980000,615000,+15.06%,LNT
iShares Tr. - Select Dividend ETF,1.85%,4656707,248668154,-2522,-0.05%,LNT
Pictet Global Selection Fund - Gl...,1.82%,4566898,243872353,84587,+1.89%,LNT
SPDR Series - Utilities Select Se...,1.57%,3939176,210351998,4320,+0.11%,LNT
Franklin Utilities Fund,1.47%,3700000,197580000,0,0.00%,LNT
Fidelity 500 Index Fund,1.10%,2751845,146948523,5005,+0.18%,LNT
SPDR S&P 500 ETF Trust,1.09%,2725529,145543249,7800,+0.29%,LNT
Vanguard Total Stock Market Index...,2.63%,269689074,27856184453,2887567,+1.08%,AMZN
Vanguard 500 Index Fund,2.03%,208134702,21498233370,1940215,+0.94%,AMZN
Invesco QQQ Trust,1.02%,104950104,10840296242,338415,+0.32%,AMZN
Fidelity 500 Index Fund,0.95%,97297514,10049860221,176867,+0.18%,AMZN
Government Pension Fund - Global ...,0.95%,96928172,10011710886,14515072,+17.61%,AMZN
SPDR S&P 500 ETF Trust,0.95%,96797129,9998175454,276276,+0.29%,AMZN
iShares Core S&P 500 ETF,0.77%,79125614,8172884670,10648,+0.01%,AMZN
Vanguard Growth Index Fund,0.72%,74179908,7662042697,203387,+0.27%,AMZN
Vanguard Institutional Index Fund,0.61%,62774308,6483958273,-704082,-1.11%,AMZN
American Funds Growth Fund of Ame...,0.61%,62433315,6448737106,7542564,+13.74%,AMZN
T Rowe Price Capital Appreciation...,3.49%,9134843,789159087,1622699,+21.60%,AEE
Vanguard Total Stock Market Index...,3.05%,7992597,690480455,46568,+0.59%,AEE
Vanguard 500 Index Fund,2.30%,6035796,521432416,28160,+0.47%,AEE
Vanguard Mid Cap Index Fund,2.30%,6019894,520058643,2676,+0.04%,AEE
SPDR Series - Utilities Select Se...,1.55%,4056874,350473345,4450,+0.11%,AEE
Pictet Global Selection Fund - Gl...,1.36%,3567972,308237101,-57213,-1.58%,AEE
Putnam Large Cap Value Fund,1.20%,3145025,271698710,1841558,+141.28%,AEE
Fidelity 500 Index Fund,1.08%,2834063,244834703,5153,+0.18%,AEE
SPDR S&P 500 ETF Trust,1.07%,2802329,242093202,8008,+0.29%,AEE
Columbia Dividend Income Fund,0.96%,2504667,216378182,-24137,-0.95%,AEE
Fidelity Contrafund,3.60%,21407382,1749411257,-21655,-0.10%,APH
Vanguard Total Stock Market Index...,3.10%,18418953,1505196839,112773,+0.62%,APH
Vanguard Mid Cap Index Fund,2.34%,13888451,1134964216,13909,+0.10%,APH
Vanguard 500 Index Fund,2.34%,13882355,1134466051,56992,+0.41%,APH
Alecta Pension,1.54%,9173402,749650411,1054358,+12.99%,APH
Government Pension Fund - Global ...,1.42%,8448115,690379958,3119848,+58.55%,APH
Fidelity 500 Index Fund,1.10%,6523762,533121831,11854,+0.18%,APH
SPDR S&P 500 ETF Trust,1.09%,6451019,527177273,18408,+0.29%,APH
JPMorgan Large Cap Growth Fund,1.08%,6439830,526262908,0,0.00%,APH
iShares Core S&P 500 ETF,0.89%,5277394,431268638,710,+0.01%,APH
Vanguard Total Stock Market Index...,3.09%,20145590,297147453,104070,+0.52%,AAL
Vanguard PRIMECAP Fund,2.97%,19365013,285633942,0,0.00%,AAL
Vanguard 500 Index Fund,2.33%,15188498,224030346,100292,+0.66%,AAL
US Global Jets ETF,1.99%,12966379,191254090,-114801,-0.88%,AAL
Vanguard Small Cap Index Fund,1.31%,8521495,125692051,53455,+0.63%,AAL
Vanguard Mid Cap Index Fund,1.17%,7607818,112215316,31637,+0.42%,AAL
Fidelity 500 Index Fund,1.09%,7124583,105087599,12950,+0.18%,AAL
SPDR S&P 500 ETF Trust,1.08%,7064413,104200092,20176,+0.29%,AAL
Vanguard Small Cap Value Index Fu...,0.92%,5980582,88213585,2534,+0.04%,AAL
iShares Core S&P 500 ETF,0.89%,5774714,85177032,778,+0.01%,AAL
Vanguard Total Stock Market Index...,3.10%,8167350,905024054,2950,+0.04%,ALL
Vanguard 500 Index Fund,2.33%,6140161,680391240,-20732,-0.34%,ALL
Schwab US Dividend Equity ETF,1.46%,3849833,426599995,2114,+0.05%,ALL
Fidelity 500 Index Fund,1.10%,2907380,322166778,5284,+0.18%,ALL
SPDR S&P 500 ETF Trust,1.09%,2874743,318550272,8164,+0.28%,ALL
Vanguard Value Index Fund,0.90%,2355942,261061933,-1098,-0.05%,ALL
iShares Core S&P 500 ETF,0.89%,2334239,258657024,314,+0.01%,ALL
Vanguard Windsor Funds - Vanguard...,0.84%,2213057,245228846,-42575,-1.89%,ALL
Allspring Special Mid Cap Value F...,0.77%,2029800,224922138,98700,+5.11%,ALL
Vanguard Institutional Index Fund,0.73%,1914346,212128680,-20791,-1.07%,ALL
Vanguard Total Stock Market Index...,3.10%,7132389,1036550093,62993,+0.89%,AME
Vanguard Mid Cap Index Fund,2.33%,5374377,781058209,16499,+0.31%,AME
Vanguard 500 Index Fund,2.33%,5361661,779210193,26480,+0.50%,AME
Government Pension Fund - Global ...,1.56%,3595224,522493904,1363173,+61.07%,AME
MFS Growth Fund,1.32%,3047271,442859894,0,0.00%,AME
Fidelity 500 Index Fund,1.09%,2517595,365882081,4576,+0.18%,AME
SPDR S&P 500 ETF Trust,1.08%,2493511,362381954,7124,+0.29%,AME
MFS Mid Cap Growth Fund,1.03%,2374989,345157151,0,0.00%,AME
John Hancock III - Disciplined Va...,1.02%,2357077,342554000,32192,+1.38%,AME
Vanguard Value Index Fund,0.89%,2059139,299254671,17970,+0.88%,AME
Vanguard 500 Index Fund,2.33%,34676000,394612880,59415,+0.17%,AMCR
SPDR S&P Dividend ETF,1.95%,28984969,329848947,-7900,-0.03%,AMCR
Government Pension Fund - Global ...,1.55%,22971685,261417775,962121,+4.37%,AMCR
Schwab US Dividend Equity ETF,1.46%,21614405,245971929,11879,+0.05%,AMCR
Fidelity 500 Index Fund,1.10%,16323473,185761123,29668,+0.18%,AMCR
SPDR S&P 500 ETF Trust,1.09%,16249537,184919731,46020,+0.28%,AMCR
Federated Hermes Strategic Value ...,1.09%,16115825,183398089,1612000,+11.11%,AMCR
ProShares S&P 500 Dividend Aristo...,0.98%,14505632,165074092,0,0.00%,AMCR
iShares Core S&P 500 ETF,0.89%,13186963,150067639,1774,+0.01%,AMCR
iShares Tr. - Edge MSCI Min. Vol....,0.81%,12004495,136611153,-6074,-0.05%,AMCR
Vanguard Total Stock Market Index...,3.10%,3259606,999069239,-15512,-0.47%,AMP
Vanguard Mid Cap Index Fund,2.34%,2459068,753704342,-24608,-0.99%,AMP
Vanguard 500 Index Fund,2.34%,2458125,753415313,-14446,-0.58%,AMP
John Hancock III - Disciplined Va...,1.27%,1339202,410465413,-69252,-4.92%,AMP
Government Pension Fund - Global ...,1.16%,1225066,375482729,131921,+12.07%,AMP
Fidelity 500 Index Fund,1.11%,1166603,357563820,2120,+0.18%,AMP
SPDR S&P 500 ETF Trust,1.10%,1153380,353510970,3276,+0.28%,AMP
iShares Tr. - Edge MSCI USA Quali...,1.06%,1111744,340749536,514,+0.05%,AMP
Vanguard Value Index Fund,0.90%,941965,288712273,-3849,-0.41%,AMP
Vanguard Mid Cap Value Index Fund,0.89%,940409,288235359,34,+0.00%,AMP
Vanguard Real Estate Index Fund,4.41%,20511519,4191323792,-179508,-0.87%,AMT
Vanguard Total Stock Market Index...,3.10%,14421883,2946967572,93298,+0.65%,AMT
Vanguard 500 Index Fund,2.33%,10870267,2221230359,52780,+0.49%,AMT
Akre Focus Fund,1.32%,6149293,1256546532,0,0.00%,AMT
Fidelity 500 Index Fund,1.10%,5104233,1042998971,9280,+0.18%,AMT
SPDR S&P 500 ETF Trust,1.08%,5047332,1031371821,14404,+0.29%,AMT
Government Pension Fund - Global ...,1.00%,4650244,950230859,828766,+21.69%,AMT
iShares Core S&P 500 ETF,0.89%,4132463,844427489,556,+0.01%,AMT
Vanguard Growth Index Fund,0.85%,3965586,810327843,-7009,-0.18%,AMT
Vanguard Dividend Growth Fund,0.77%,3574792,730472997,929005,+35.11%,AMT
Vanguard Total Stock Market Index...,3.10%,184783028,19167543494,931354,+0.51%,GOOGL
Vanguard 500 Index Fund,2.34%,139050349,14423692702,288368,+0.21%,GOOGL
Fidelity 500 Index Fund,1.10%,65479436,6792181896,119150,+0.18%,GOOGL
SPDR S&P 500 ETF Trust,1.09%,64668070,6708018901,184548,+0.29%,GOOGL
Invesco QQQ Trust,1.04%,62173186,6449224584,200480,+0.32%,GOOGL
iShares Core S&P 500 ETF,0.89%,52862129,5483388641,7114,+0.01%,GOOGL
Vanguard Growth Index Fund,0.85%,50726886,5261899885,-228311,-0.45%,GOOGL
Vanguard Institutional Index Fund,0.71%,42465127,4404907624,-477412,-1.11%,GOOGL
American Funds Growth Fund of Ame...,0.56%,33264428,3450519116,6187971,+22.85%,GOOGL
Vanguard Wellington Fund,0.43%,25443596,2639264213,840896,+3.42%,GOOGL
Vanguard Total Stock Market Index...,3.10%,55265966,2465967403,128211,+0.23%,MO
Vanguard 500 Index Fund,2.34%,41685958,1860027446,45108,+0.11%,MO
American Balanced Fund,1.62%,28900700,1289549234,957467,+3.43%,MO
American Funds Income Fund of Ame...,1.51%,26991305,1204352029,-900000,-3.23%,MO
Schwab US Dividend Equity ETF,1.46%,26015518,1160812413,14294,+0.05%,MO
Fidelity 500 Index Fund,1.10%,19646798,876640127,35709,+0.18%,MO
SPDR S&P 500 ETF Trust,1.09%,19454252,868048724,55328,+0.29%,MO
Washington Mutual Investors Fund,0.91%,16264337,725714717,16264337,--,MO
Vanguard Value Index Fund,0.89%,15971189,712634453,55360,+0.35%,MO
Capital Income Builder,0.89%,15930119,710801910,-688855,-4.14%,MO
Vanguard Total Stock Market Index...,3.10%,16537397,3997915725,116761,+0.71%,AMGN
Vanguard 500 Index Fund,2.34%,12466376,3013746398,70372,+0.57%,AMGN
Vanguard PRIMECAP Fund,1.71%,9120955,2204990871,-97900,-1.06%,AMGN
Schwab US Dividend Equity ETF,1.45%,7745640,1872508470,4256,+0.05%,AMGN
Invesco QQQ Trust,1.33%,7094852,1715180471,22890,+0.32%,AMGN
Fidelity 500 Index Fund,1.10%,5849391,1414090274,10634,+0.18%,AMGN
