Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Brown Capital Management LLC,2.10%,3301492,244937691,8280,+0.25%,TECH
Wellington Management Co. LLP,2.05%,3216383,238623455,-185657,-5.46%,TECH
Winslow Capital Management LLC,2.00%,3147924,233544482,384956,+13.93%,TECH
"The Vanguard Group, Inc.",14.57%,22854310,1236875257,61349,+0.27%,BXP
Norges Bank Investment Management,8.10%,12695570,687084248,-341984,-2.62%,BXP
"SSgA Funds Management, Inc.",7.07%,11085421,599942985,14273,+0.13%,BXP
BlackRock Fund Advisors,6.68%,10473375,566819055,450323,+4.49%,BXP
"APG Asset Management US, Inc.",4.75%,7450856,403240327,-102771,-1.36%,BXP
"JPMorgan Investment Management, I...",4.13%,6471896,350259012,1056646,+19.51%,BXP
Capital Research & Management Co....,2.89%,4538516,245624486,4538516,--,BXP
First Eagle Investment Management...,2.45%,3837041,207660659,880490,+29.78%,BXP
BlackRock Investment Management (...,2.31%,3619489,195886745,639540,+21.46%,BXP
Geode Capital Management LLC,2.07%,3243819,175555484,55133,+1.73%,BXP
Newport Trust Co.,7.40%,44267963,9403843380,-709167,-1.58%,BA
"The Vanguard Group, Inc.",7.33%,43855317,9316184990,787969,+1.83%,BA
"SSgA Funds Management, Inc.",4.43%,26506455,5630766236,265943,+1.01%,BA
BlackRock Fund Advisors,4.13%,24710419,5249234308,822102,+3.44%,BA
Fidelity Management & Research Co...,2.73%,16344013,3471958682,2454915,+17.68%,BA
Capital Research & Management Co....,2.32%,13879397,2948400305,2026809,+17.10%,BA
"Loomis, Sayles & Co. LP",2.00%,11950316,2538605628,-1061904,-8.16%,BA
Geode Capital Management LLC,1.62%,9684704,2057321671,250697,+2.66%,BA
Capital Research & Management Co....,1.35%,8097785,1720212468,8097785,--,BA
"Northern Trust Investments, Inc.(...",0.80%,4806117,1020963434,-7173,-0.15%,BA
"The Vanguard Group, Inc.",8.54%,24253559,6003725995,182931,+0.76%,BDX
"T. Rowe Price Associates, Inc. (I...",6.40%,18175558,4499177627,-2667231,-12.80%,BDX
BlackRock Fund Advisors,5.29%,15011871,3716038547,1006605,+7.19%,BDX
"SSgA Funds Management, Inc.",4.54%,12896716,3192453079,255828,+2.02%,BDX
Wellington Management Co. LLP,3.53%,10012054,2478383847,-913221,-8.36%,BDX
Morgan Stanley Investment Managem...,2.15%,6091570,1507907238,-244282,-3.86%,BDX
Geode Capital Management LLC,1.74%,4944926,1224066982,91679,+1.89%,BDX
Massachusetts Financial Services ...,1.58%,4472115,1107027347,-645398,-12.61%,BDX
T. Rowe Price Investment Manageme...,1.26%,3574261,884772568,-2823350,-44.13%,BDX
Wells Fargo Clearing Services LLC,1.08%,3063469,758331116,16546,+0.54%,BDX
"The Vanguard Group, Inc.",12.03%,60794820,2465837899,13155533,+27.61%,BAX
BlackRock Fund Advisors,5.37%,27158044,1101530265,13581,+0.05%,BAX
Morgan Stanley Investment Managem...,5.10%,25787019,1045921491,-265946,-1.02%,BAX
"SSgA Funds Management, Inc.",4.25%,21496753,871908302,-11128,-0.05%,BAX
Generation Investment Management ...,2.15%,10866079,440728164,-1009961,-8.50%,BAX
Geode Capital Management LLC,1.74%,8800953,356966654,-317930,-3.49%,BAX
BlackRock Advisors LLC,1.67%,8451412,342789271,6836155,+423.22%,BAX
Macquarie Investment Management B...,1.54%,7760208,314754036,1066621,+15.93%,BAX
Norges Bank Investment Management,1.47%,7439184,301733303,1888964,+34.03%,BAX
T. Rowe Price Investment Manageme...,1.40%,7090500,287590680,7090500,--,BAX
"The Vanguard Group, Inc.",8.62%,12944053,8661124743,78126,+0.61%,BLK
BlackRock Fund Advisors,4.77%,7168047,4796283609,800232,+12.57%,BLK
"SSgA Funds Management, Inc.",4.21%,6319916,4228782194,478,+0.01%,BLK
Temasek Holdings Pte Ltd. (Invest...,3.39%,5092825,3407711064,0,0.00%,BLK
Charles Schwab Investment Managem...,2.22%,3335602,2231918010,430524,+14.82%,BLK
Managed Account Advisors LLC,2.12%,3186996,2132482764,1087531,+51.80%,BLK
Capital Research & Management Co....,1.77%,2652705,1774977970,-894133,-25.21%,BLK
Geode Capital Management LLC,1.75%,2623051,1755135885,47546,+1.85%,BLK
Capital Research & Management Co....,1.54%,2315976,1549665861,-440648,-15.99%,BLK
Morgan Stanley Smith Barney LLC (...,1.41%,2112111,1413255712,-49655,-2.30%,BLK
"The Vanguard Group, Inc.",9.32%,24560968,1529165868,260406,+1.07%,WRB
"SSgA Funds Management, Inc.",4.07%,10719816,667415744,-302493,-2.74%,WRB
BlackRock Fund Advisors,3.89%,10248790,638089665,346865,+3.50%,WRB
Kayne Anderson Rudnick Investment...,3.18%,8369840,521106238,-561835,-6.29%,WRB
Atlanta Capital Management Co. LL...,3.17%,8337792,519110930,-687373,-7.62%,WRB
Janus Henderson Investors US LLC,2.67%,7024067,437318411,-2255320,-24.30%,WRB
Geode Capital Management LLC,1.71%,4491043,279612337,35201,+0.79%,WRB
"Victory Capital Management, Inc. ...",1.53%,4025758,250643693,-1237504,-23.51%,WRB
Invesco Capital Management LLC,1.34%,3536200,220163812,-318693,-8.27%,WRB
First Eagle Investment Management...,1.18%,3116060,194005896,-767908,-19.77%,WRB
"The Vanguard Group, Inc.",8.32%,66945857,3042019742,2448020,+3.80%,BK
Dodge & Cox,7.44%,59815247,2718004824,1733535,+2.98%,BK
BlackRock Fund Advisors,4.97%,40012432,1818164910,504885,+1.28%,BK
"SSgA Funds Management, Inc.",4.02%,32317002,1468484571,-76637,-0.24%,BK
"Berkshire Hathaway, Inc. (Investm...",3.12%,25069867,1139174756,-37141011,-59.70%,BK
Artisan Partners LP,2.65%,21330767,969270052,-589106,-2.69%,BK
First Eagle Investment Management...,2.13%,17130608,778414828,647934,+3.93%,BK
Geode Capital Management LLC,1.88%,15074935,685005046,144887,+0.97%,BK
American Century Investment Manag...,1.87%,15036118,683241202,-1282551,-7.86%,BK
Davis Selected Advisers LP,1.64%,13165044,598219599,-450279,-3.31%,BK
"The Vanguard Group, Inc.",9.43%,26809710,1539413548,490789,+1.86%,BRO
Select Equity Group LP,6.07%,17261734,991168766,-1329366,-7.15%,BRO
BlackRock Fund Advisors,4.29%,12208627,701019362,447094,+3.80%,BRO
Principal Global Investors LLC,3.95%,11222640,644403989,1091719,+10.78%,BRO
"SSgA Funds Management, Inc.",3.86%,10958305,629225873,-89995,-0.81%,BRO
Atlanta Capital Management Co. LL...,2.12%,6034306,346489851,-21958,-0.36%,BRO
Allspring Global Investments LLC,2.02%,5739863,329582933,94514,+1.67%,BRO
Geode Capital Management LLC,1.82%,5179408,297401607,157366,+3.13%,BRO
First Eagle Investment Management...,1.69%,4799990,275615426,58543,+1.23%,BRO
"T. Rowe Price Associates, Inc. (I...",1.33%,3792975,217792625,-920193,-19.52%,BRO
"The Vanguard Group, Inc.",11.55%,25186425,1971341485,-125481,-0.50%,BBY
BlackRock Fund Advisors,5.51%,12017817,940634537,-1184635,-8.97%,BBY
"SSgA Funds Management, Inc.",4.60%,10028873,784959890,-322063,-3.11%,BBY
"JPMorgan Investment Management, I...",4.34%,9459535,740397804,-54972,-0.58%,BBY
"T. Rowe Price Associates, Inc. (I...",3.43%,7476302,585170158,530795,+7.64%,BBY
Charles Schwab Investment Managem...,2.08%,4524178,354107412,449408,+11.03%,BBY
Geode Capital Management LLC,1.92%,4191711,328085220,-14191,-0.34%,BBY
Invesco Capital Management LLC,1.42%,3091548,241975462,1094484,+54.80%,BBY
"Northern Trust Investments, Inc.(...",1.25%,2715420,212535923,-383064,-12.36%,BBY
First Trust Advisors LP,1.21%,2646387,207132710,-193789,-6.82%,BBY
"The Vanguard Group, Inc.",9.24%,193861505,13436540912,2894409,+1.52%,BMY
BlackRock Fund Advisors,5.40%,113247574,7849189354,2825140,+2.56%,BMY
"SSgA Funds Management, Inc.",4.42%,92750001,6428502569,424103,+0.46%,BMY
"JPMorgan Investment Management, I...",2.99%,62806057,4353087811,-530845,-0.84%,BMY
Capital Research & Management Co....,2.51%,52717037,3653817834,320605,+0.61%,BMY
Fidelity Management & Research Co...,1.93%,40394424,2799737527,-11205067,-21.72%,BMY
Geode Capital Management LLC,1.85%,38724114,2683968341,-423021,-1.08%,BMY
Norges Bank Investment Management,1.24%,26041644,1804946346,3363826,+14.83%,BMY
"Northern Trust Investments, Inc.(...",1.04%,21856044,1514842410,-223621,-1.01%,BMY
PRIMECAP Management Co.,1.04%,21856565,1514878520,-281110,-1.27%,BMY
"The Vanguard Group, Inc.",10.66%,24391073,892225450,132651,+0.55%,BBWI
Lone Pine Capital LLC,9.02%,20630231,754653850,0,0.00%,BBWI
Third Point LLC,6.01%,13751100,503015238,1100,+0.01%,BBWI
BlackRock Fund Advisors,4.72%,10800232,395072487,-167157,-1.52%,BBWI
"SSgA Funds Management, Inc.",4.21%,9637250,352530605,-401517,-4.00%,BBWI
T. Rowe Price Investment Manageme...,3.53%,8081687,295628110,8965,+0.11%,BBWI
PRIMECAP Management Co.,2.53%,5778265,211368934,-109705,-1.86%,BBWI
Steadfast Capital Management LP,2.46%,5632798,206047751,-397934,-6.60%,BBWI
"JPMorgan Investment Management, I...",2.04%,4658306,170400833,-39235,-0.84%,BBWI
Geode Capital Management LLC,2.02%,4618882,168958704,-618313,-11.81%,BBWI
"The Vanguard Group, Inc.",7.88%,2968181,7872832966,-28192,-0.94%,BKNG
Capital Research & Management Co....,4.94%,1858921,4930620650,76428,+4.29%,BKNG
BlackRock Fund Advisors,4.42%,1663096,4411212461,-28215,-1.67%,BKNG
"SSgA Funds Management, Inc.",3.97%,1493914,3962472433,-49140,-3.18%,BKNG
"T. Rowe Price Associates, Inc. (I...",3.72%,1402114,3718981195,119153,+9.29%,BKNG
Dodge & Cox,2.21%,832294,2207584929,-19580,-2.30%,BKNG
Geode Capital Management LLC,1.86%,701427,1860471989,881,+0.13%,BKNG
Fidelity Management & Research Co...,1.67%,629278,1669103260,-19927,-3.07%,BKNG
Norges Bank Investment Management,1.41%,530019,1405827696,107476,+25.44%,BKNG
Janus Henderson Investors US LLC,1.39%,524530,1391268617,31152,+6.31%,BKNG
"The Vanguard Group, Inc.",15.88%,16944485,1776459807,-85600,-0.50%,CPT
Cohen & Steers Capital Management...,11.15%,11894672,1247037412,574921,+5.08%,CPT
BlackRock Fund Advisors,6.58%,7016190,735577360,106483,+1.54%,CPT
"SSgA Funds Management, Inc.",6.42%,6844789,717607679,74348,+1.10%,CPT
Norges Bank Investment Management,2.80%,2984542,312899383,694430,+30.32%,CPT
"Victory Capital Management, Inc. ...",2.34%,2497064,261792190,947742,+61.17%,CPT
Geode Capital Management LLC,2.24%,2393437,250927935,60847,+2.61%,CPT
Daiwa Asset Management Co. Ltd.,1.97%,2098274,219983046,182803,+9.54%,CPT
Citadel Advisors LLC,1.53%,1631453,171041533,1230901,+307.30%,CPT
Invesco Capital Management LLC,1.51%,1614513,169265543,160180,+11.01%,CPT
"The Vanguard Group, Inc.",11.41%,62896135,3975664693,59706,+0.10%,CNC
Capital Research & Management Co....,9.04%,49805304,3148193266,1139182,+2.34%,CNC
BlackRock Fund Advisors,4.71%,25983125,1642393331,-4662,-0.02%,CNC
"SSgA Funds Management, Inc.",4.49%,24748052,1564324367,649914,+2.70%,CNC
"T. Rowe Price Associates, Inc. (I...",4.24%,23369947,1477214350,-7900728,-25.27%,CNC
Fidelity Management & Research Co...,3.82%,21066869,1331636789,-5519852,-20.76%,CNC
Wellington Management Co. LLP,3.70%,20368081,1287466400,1247352,+6.52%,CNC
Politan Capital Management LP,2.38%,13114580,828972602,200172,+1.55%,CNC
Swedbank Robur Fonder AB,2.03%,11179705,706669153,1405400,+14.38%,CNC
"Boston Partners Global Investors,...",1.86%,10247108,647719697,-1283376,-11.13%,CNC
"The Vanguard Group, Inc.",11.15%,93020286,4255678085,3248738,+3.62%,CARR
Capital Research & Management Co....,9.71%,80989207,3705256220,5745129,+7.64%,CARR
Capital Research & Management Co....,9.37%,78167940,3576183255,-4209409,-5.11%,CARR
Capital Research & Management Co....,6.79%,56607282,2589783152,-1884794,-3.22%,CARR
BlackRock Fund Advisors,4.76%,39731862,1817732687,481016,+1.23%,CARR
"SSgA Funds Management, Inc.",3.95%,32940609,1507032862,24588,+0.07%,CARR
Geode Capital Management LLC,2.04%,17034851,779344433,366145,+2.20%,CARR
Dodge & Cox,1.96%,16384156,749575137,-1339025,-7.56%,CARR
Fiera Capital Corp. (Investment M...,1.46%,12188456,557621862,-515229,-4.06%,CARR
TIAA-CREF Investment Management L...,1.39%,11619649,531598942,-628289,-5.13%,CARR
Capital Research & Management Co....,13.08%,19610331,1873178817,1329936,+7.28%,BG
"The Vanguard Group, Inc.",9.90%,14844335,1417930879,39959,+0.27%,BG
BlackRock Fund Advisors,4.02%,6028225,575816052,-207748,-3.33%,BG
Fidelity Management & Research Co...,3.24%,4863253,464537927,114139,+2.40%,BG
"SSgA Funds Management, Inc.",2.56%,3838534,366656768,-190957,-4.74%,BG
FIL Investment Advisors (UK) Ltd.,1.80%,2694182,257348265,221299,+8.95%,BG
BlackRock Investment Management (...,1.64%,2460465,235023617,-479456,-16.31%,BG
Dimensional Fund Advisors LP,1.55%,2325137,222097086,-176324,-7.05%,BG
UBS Asset Management Switzerland ...,1.43%,2147812,205159002,29648,+1.40%,BG
"T. Rowe Price Associates, Inc. (I...",1.30%,1943255,185619718,-299004,-13.33%,BG
"The Vanguard Group, Inc.",9.67%,107886486,1095047833,2584246,+2.45%,CCL
BlackRock Fund Advisors,4.07%,45369932,460504810,8161115,+21.93%,CCL
Truist Bank (Private Banking),3.28%,36630278,371797322,6023,+0.02%,CCL
"SSgA Funds Management, Inc.",3.20%,35729762,362657084,-51577,-0.14%,CCL
Geode Capital Management LLC,1.80%,20034307,203348216,841671,+4.39%,CCL
Two Sigma Investments LP,1.44%,16056858,162977109,16056858,--,CCL
"Northern Trust Investments, Inc.(...",1.22%,13574602,137782210,-71047,-0.52%,CCL
Squarepoint OPS LLC,0.94%,10455277,106121062,6827647,+188.21%,CCL
Invesco Capital Management LLC,0.93%,10348442,105036686,1887992,+22.32%,CCL
PRIMECAP Management Co.,0.84%,9372724,95133149,-106900,-1.13%,CCL
"The Vanguard Group, Inc.",11.91%,12918891,1406738041,333422,+2.65%,CE
"Berkshire Hathaway, Inc. (Investm...",8.95%,9710183,1057341827,0,0.00%,CE
Dodge & Cox,6.55%,7109524,774156068,-315120,-4.24%,CE
Wellington Management Co. LLP,6.42%,6961945,758086191,391730,+5.96%,CE
BlackRock Fund Advisors,5.18%,5616327,611561847,-146311,-2.54%,CE
"SSgA Funds Management, Inc.",4.34%,4712171,513108300,-12560,-0.27%,CE
Fidelity Management & Research Co...,2.45%,2657974,289426789,880444,+49.53%,CE
Brown Brothers Harriman & Co. (In...,2.26%,2452654,267069494,51388,+2.14%,CE
Geode Capital Management LLC,1.93%,2096859,228326977,9403,+0.45%,CE
"Holocene Advisors, LP",1.78%,1934894,210690608,1059844,+121.12%,CE
"The Vanguard Group, Inc.",8.99%,46441936,10627772634,115819,+0.25%,CAT
"SSgA Funds Management, Inc.",7.70%,39778535,9102919949,-291743,-0.73%,CAT
Capital Research & Management Co....,5.63%,29091131,6657214418,33323,+0.11%,CAT
BlackRock Fund Advisors,4.63%,23929658,5476062937,96298,+0.40%,CAT
State Farm Investment Management ...,3.44%,17761276,4064490400,0,0.00%,CAT
Geode Capital Management LLC,1.77%,9130707,2089470990,110026,+1.22%,CAT
Fisher Asset Management LLC,1.43%,7390616,1691268565,100168,+1.37%,CAT
Bill & Melinda Gates Foundation T...,1.42%,7353614,1682801028,0,0.00%,CAT
"Northern Trust Investments, Inc.(...",1.22%,6298466,1441340959,-93273,-1.46%,CAT
Norges Bank Investment Management,0.95%,4905890,1122663868,-429413,-8.05%,CAT
"The Vanguard Group, Inc.",15.98%,49533190,3606511564,-772862,-1.54%,CBRE
BlackRock Fund Advisors,6.09%,18858228,1373067581,-492922,-2.55%,CBRE
"SSgA Funds Management, Inc.",4.46%,13825914,1006664798,-262465,-1.86%,CBRE
Harris Associates LP,4.41%,13661270,994677069,1378650,+11.22%,CBRE
ValueAct Capital Management LP,2.98%,9234964,672397729,0,0.00%,CBRE
Fidelity Management & Research Co...,2.51%,7761334,565102729,-412454,-5.05%,CBRE
Geode Capital Management LLC,2.27%,7040829,512642759,34736,+0.50%,CBRE
Baillie Gifford & Co.,1.88%,5823685,424022505,-340185,-5.52%,CBRE
Principal Global Investors LLC,1.85%,5744292,418241901,-111481,-1.90%,CBRE
Generation Investment Management ...,1.77%,5474203,398576720,-57194,-1.03%,CBRE
"The Vanguard Group, Inc.",11.42%,31174263,6549400914,322374,+1.04%,CDNS
BlackRock Fund Advisors,5.83%,15916989,3344000219,303787,+1.95%,CDNS
"SSgA Funds Management, Inc.",4.05%,11062063,2324028816,-159465,-1.42%,CDNS
Massachusetts Financial Services ...,3.99%,10897417,2289438338,-4567229,-29.53%,CDNS
Fidelity Management & Research Co...,3.25%,8861551,1861723250,-89724,-1.00%,CDNS
Geode Capital Management LLC,2.23%,6085318,1278464459,-200804,-3.19%,CDNS
BlackRock Investment Management (...,2.10%,5728529,1203506658,-405926,-6.62%,CDNS
"T. Rowe Price Associates, Inc. (I...",1.86%,5083655,1068025079,-335649,-6.19%,CDNS
Norges Bank Investment Management,1.76%,4799212,1008266449,2392867,+99.44%,CDNS
BlackRock Advisors LLC,1.66%,4517567,949095651,-502076,-10.00%,CDNS
"The Vanguard Group, Inc.",7.68%,22997319,1264392599,179342,+0.79%,CPB
BlackRock Fund Advisors,4.13%,12370444,680127011,1577604,+14.62%,CPB
"SSgA Funds Management, Inc.",3.61%,10803391,593970437,184406,+1.74%,CPB
"Beutel, Goodman & Co. Ltd.",1.68%,5032647,276694932,-1199342,-19.24%,CPB
Geode Capital Management LLC,1.45%,4325934,237839851,84688,+2.00%,CPB
Invesco Capital Management LLC,1.40%,4192141,230483912,-368528,-8.08%,CPB
"Brandywine Group Advisors, Inc.",1.30%,3881663,213413832,-100000,-2.51%,CPB
State Farm Investment Management ...,1.28%,3840000,211123200,0,0.00%,CPB
Renaissance Technologies LLC,1.25%,3743980,205844020,380112,+11.30%,CPB
First Trust Advisors LP,0.98%,2928989,161035815,81771,+2.87%,CPB
"The Vanguard Group, Inc.",12.39%,14435600,1434465572,-310994,-2.11%,CHRW
First Eagle Investment Management...,9.28%,10816805,1074865913,246347,+2.33%,CHRW
BlackRock Fund Advisors,8.25%,9609166,954862825,241818,+2.58%,CHRW
"SSgA Funds Management, Inc.",7.34%,8551636,849776069,11927,+0.14%,CHRW
Geode Capital Management LLC,2.26%,2630826,261425180,-99961,-3.66%,CHRW
Parnassus Investments LLC,2.21%,2569013,255282822,-131796,-4.88%,CHRW
Ancora Alternatives LLC,1.93%,2250965,223678392,-9800,-0.43%,CHRW
Clarkston Capital Partners LLC,1.67%,1947555,193528540,793191,+68.71%,CHRW
"T. Rowe Price Associates, Inc. (I...",1.48%,1724319,171345579,-330980,-16.10%,CHRW
BlackRock Advisors (UK) Ltd.,1.28%,1491711,148231322,57738,+4.03%,CHRW
"The Vanguard Group, Inc.",10.87%,17171579,1103789098,-22477,-0.13%,KMX
Principal Global Investors LLC,6.61%,10437478,670921086,-117746,-1.12%,KMX
Capital Research & Management Co....,5.06%,7997343,514069208,829,+0.01%,KMX
BlackRock Fund Advisors,4.65%,7350598,472496439,113966,+1.57%,KMX
"Ruane, Cunniff & Goldfarb LP",3.97%,6271401,403125656,-197202,-3.05%,KMX
"SSgA Funds Management, Inc.",3.80%,6006376,386089849,-131476,-2.14%,KMX
PRIMECAP Management Co.,3.78%,5971581,383853227,-222916,-3.60%,KMX
"Diamond Hill Capital Management, ...",3.41%,5386178,346223522,5386178,--,KMX
Akre Capital Management LLC,3.35%,5291022,340106894,-2062000,-28.04%,KMX
Wellington Management Co. LLP,3.35%,5287125,339856395,1599560,+43.38%,KMX
"The Vanguard Group, Inc.",11.56%,15666959,3053333640,153461,+0.99%,CDW
BlackRock Fund Advisors,5.04%,6839725,1332994005,253519,+3.85%,CDW
Select Equity Group LP,5.00%,6780830,1321515959,-310681,-4.38%,CDW
"SSgA Funds Management, Inc.",3.78%,5125186,998847500,-3357,-0.07%,CDW
AllianceBernstein LP,3.67%,4978022,970166708,-249287,-4.77%,CDW
Wellington Management Co. LLP,3.25%,4406389,858761152,-506827,-10.32%,CDW
Fidelity Management & Research Co...,3.18%,4305495,839097921,169633,+4.10%,CDW
Mawer Investment Management Ltd.,2.44%,3304932,644098197,-504960,-13.25%,CDW
Longview Partners LLP,2.25%,3048864,594193105,-34540,-1.12%,CDW
Geode Capital Management LLC,2.08%,2817597,549121479,77555,+2.83%,CDW
"The Vanguard Group, Inc.",10.20%,21937640,1070776208,463874,+2.16%,CZR
Capital Research & Management Co....,9.71%,20900743,1020165266,3326,+0.02%,CZR
Fidelity Management & Research Co...,8.46%,18210187,888839227,1564455,+9.40%,CZR
Janus Henderson Investors US LLC,5.69%,12251978,598019046,-701488,-5.42%,CZR
Capital Research & Management Co....,4.88%,10500308,512520033,-496558,-4.52%,CZR
BlackRock Fund Advisors,4.84%,10414517,508332575,408924,+4.09%,CZR
"SSgA Funds Management, Inc.",3.52%,7583507,370150977,-152932,-1.98%,CZR
Goldman Sachs & Co. LLC (Private ...,3.04%,6531007,318778452,6411967,"+5,386.40%",CZR
HG Vora Capital Management LLC,2.79%,6000000,292860000,0,0.00%,CZR
Geode Capital Management LLC,2.06%,4433939,216420563,116813,+2.71%,CZR
"T. Rowe Price Associates, Inc. (I...",14.08%,21691635,1588261515,3273796,+17.78%,CDAY
Select Equity Group LP,11.99%,18469873,1352364101,-3030648,-14.10%,CDAY
"The Vanguard Group, Inc.",10.57%,16285557,1192428484,287739,+1.80%,CDAY
Capital Research & Management Co....,9.74%,15015865,1099461635,-361195,-2.35%,CDAY
Wellington Management Co. LLP,6.44%,9926697,726832754,-352585,-3.43%,CDAY
BlackRock Fund Advisors,5.29%,8155527,597147687,1000242,+13.98%,CDAY
Capital Research & Management Co....,4.43%,6818745,499268509,1433699,+26.62%,CDAY
Janus Henderson Investors US LLC,4.08%,6289350,460506207,131963,+2.14%,CDAY
"SSgA Funds Management, Inc.",3.56%,5480654,401293486,64299,+1.19%,CDAY
Capital Research & Management Co....,3.53%,5436960,398094211,888,+0.02%,CDAY
"The Vanguard Group, Inc.",10.47%,18859037,1239227321,350258,+1.89%,CTLT
T. Rowe Price Investment Manageme...,9.21%,16578946,1089402542,-1841410,-10.00%,CTLT
Capital Research & Management Co....,7.67%,13817203,907928409,2407795,+21.10%,CTLT
Veritas Asset Management LLP,6.20%,11169815,733968544,4212040,+60.54%,CTLT
BlackRock Fund Advisors,5.00%,9009519,592015493,158457,+1.79%,CTLT
Janus Henderson Investors US LLC,4.54%,8177530,537345496,1383071,+20.36%,CTLT
Artisan Partners LP,4.36%,7842308,515318059,1973505,+33.63%,CTLT
"SSgA Funds Management, Inc.",4.09%,7367321,484106663,240521,+3.37%,CTLT
American Century Investment Manag...,2.30%,4142585,272209260,1051160,+34.00%,CTLT
Geode Capital Management LLC,2.02%,3628169,238406985,121525,+3.47%,CTLT
Capital Research & Management Co....,12.37%,77888930,2294607878,4393834,+5.98%,CNP
"The Vanguard Group, Inc.",11.72%,73794136,2173975247,578111,+0.79%,CNP
BlackRock Fund Advisors,6.13%,38628564,1137997495,1496510,+4.03%,CNP
"SSgA Funds Management, Inc.",5.41%,34058140,1003352804,-775338,-2.23%,CNP
"Boston Partners Global Investors,...",3.99%,25132753,740410903,68199,+0.27%,CNP
Capital Research & Management Co....,3.84%,24159433,711736896,1906,+0.01%,CNP
RREEF America LLC,3.37%,21240571,625747222,2081618,+10.86%,CNP
Geode Capital Management LLC,2.03%,12775193,376357186,126534,+1.00%,CNP
Pictet Asset Management SA,1.52%,9591282,282559168,522682,+5.76%,CNP
Jennison Associates LLC,1.47%,9225291,271777073,676858,+7.92%,CNP
"The Vanguard Group, Inc.",11.72%,30188205,2279209478,-823094,-2.65%,CAH
"SSgA Funds Management, Inc.",6.80%,17512676,1322207038,-2799089,-13.78%,CAH
BlackRock Fund Advisors,5.77%,14870114,1122693607,1127520,+8.20%,CAH
Fidelity Management & Research Co...,2.17%,5604335,423127293,-75976,-1.34%,CAH
Geode Capital Management LLC,2.08%,5368738,405339719,-78301,-1.44%,CAH
"T. Rowe Price Associates, Inc. (I...",1.94%,4994087,377053569,-3207939,-39.11%,CAH
BlackRock Advisors LLC,1.79%,4617053,348587502,4145386,+878.88%,CAH
Invesco Capital Management LLC,1.63%,4200972,317173386,-581575,-12.16%,CAH
Arrowstreet Capital LP,1.51%,3876715,292691983,1327772,+52.09%,CAH
"Northern Trust Investments, Inc.(...",1.14%,2942319,222145085,-240746,-7.56%,CAH
"The Vanguard Group, Inc.",11.86%,12543569,1683848703,19054,+0.15%,CBOE
BlackRock Fund Advisors,4.60%,4859161,652293773,41519,+0.86%,CBOE
Geode Capital Management LLC,2.26%,2391700,321061808,79274,+3.43%,CBOE
"SSgA Funds Management, Inc.",2.07%,2183843,293159084,5900,+0.27%,CBOE
Janus Henderson Investors US LLC,1.79%,1890622,253797097,-759447,-28.66%,CBOE
Parnassus Investments LLC,1.49%,1572588,211104213,-374843,-19.25%,CBOE
Invesco Capital Management LLC,1.44%,1518532,203847736,-1376,-0.09%,CBOE
T. Rowe Price Investment Manageme...,1.41%,1494812,200663563,-691305,-31.62%,CBOE
Massachusetts Financial Services ...,1.29%,1365259,183272368,-11434,-0.83%,CBOE
Norges Bank Investment Management,1.20%,1273328,170931551,332604,+35.36%,CBOE
Dodge & Cox,9.28%,35372196,3401390367,-459430,-1.28%,COF
"The Vanguard Group, Inc.",7.78%,29659109,2852019921,-6793,-0.02%,COF
Capital Research & Management Co....,4.50%,17142732,1648445109,-939213,-5.19%,COF
BlackRock Fund Advisors,4.46%,16990121,1633770035,-335132,-1.93%,COF
"SSgA Funds Management, Inc.",4.44%,16917557,1626792281,-761095,-4.31%,COF
Harris Associates LP,3.31%,12597510,1211376562,4946939,+64.66%,COF
Davis Selected Advisers LP,2.85%,10867609,1045029281,49543,+0.46%,COF
"JPMorgan Investment Management, I...",2.71%,10308336,991249590,-1063429,-9.35%,COF
Aristotle Capital Management LLC,2.66%,10127279,973839149,-559270,-5.23%,COF
Fisher Asset Management LLC,2.46%,9362367,900285211,686514,+7.91%,COF
"The Vanguard Group, Inc.",9.65%,9807077,4537538386,207843,+2.17%,CTAS
BlackRock Fund Advisors,4.53%,4607876,2131972068,209354,+4.76%,CTAS
"SSgA Funds Management, Inc.",3.75%,3807701,1761747099,42655,+1.13%,CTAS
Fidelity Management & Research Co...,1.90%,1931078,893471169,-90107,-4.46%,CTAS
Geode Capital Management LLC,1.80%,1829856,846637774,51587,+2.90%,CTAS
"T. Rowe Price Associates, Inc. (I...",1.28%,1303356,603036754,-92747,-6.64%,CTAS
"Franklin Advisers, Inc.",1.14%,1153843,533860079,-33520,-2.82%,CTAS
Brown Advisory LLC,1.05%,1069420,494799246,-34738,-3.15%,CTAS
Fort Washington Investment Adviso...,1.05%,1062205,491461009,-220,-0.02%,CTAS
Impax Asset Management Ltd.,1.01%,1027507,475406939,32297,+3.25%,CTAS
"Berkshire Hathaway, Inc. (Investm...",9.24%,400000000,24812000000,0,0.00%,KO
"The Vanguard Group, Inc.",8.12%,351259683,21788638136,4617185,+1.33%,KO
BlackRock Fund Advisors,4.63%,200368487,12428857249,844762,+0.42%,KO
"SSgA Funds Management, Inc.",4.01%,173581882,10767284140,2011684,+1.17%,KO
Geode Capital Management LLC,1.75%,75894046,4707707673,447835,+0.59%,KO
Fidelity Management & Research Co...,1.66%,71680626,4446349231,-6912507,-8.80%,KO
